"","idnumber","peacekeep","guarantee","polpssum","econpssum","coldwar","terrpssum","milpssum","costinc","psall","peacedur","peacefail","sepforce","sealed","withdfor","issue","costs","duration","ccode","repex","repcs","repleg","federalism","autonomy","milint","milldr","landredist","otherredist","_st","_d","_t","_t0"
"1",1.10000002384186,0,0,0,0,1,0,0,0,0,2,1,0,0,0,2,-1.88999998569489,2.23000001907349,540,0,0,0,0,0,0,0,0,0,1,1,2,0
"2",1.20000004768372,1,0,1,0,0,0,1,2,2,17,1,1,0,0,2,1.25999999046326,1.32000005245209,540,0,0,1,0,0,1,0,0,0,1,1,17,0
"3",1.29999995231628,1,0,1,0,0,0,1,2,2,48,1,1,0,0,2,1.10000002384186,1.20000004768372,540,0,0,1,0,0,1,0,0,0,1,1,48,0
"4",1.39999997615814,0,0,2,0,0,0,2,2,2,54,0,1,0,1,2,-0.379999995231628,1.5900000333786,540,0,1,1,0,0,1,1,0,0,1,0,54,0
"5",2,1,0,0,0,0,0,0,1,0,139,0,0,0,0,0,-1.05999994277954,1.72000002861023,373,0,0,0,0,0,0,0,0,0,1,0,139,0
"6",3,1,1,3,0,0,1,1,3,3,121,0,1,0,1,2,1.82000005245209,1.62999999523163,346,1,1,1,1,0,1,0,0,0,1,0,121,0
"7",4,1,1,1,0,0,0,1,4,2,170,0,1,1,1,0,1.82000005245209,2.41000008583069,811,0,0,1,0,0,1,0,0,0,1,0,170,0
"8",5.09999990463257,0,0,0,0,1,0,1,0,1,7,1,0,0,0,2,0.509999990463257,0.779999971389771,483,0,0,0,0,0,1,0,0,0,1,1,7,0
"9",5.19999980926514,1,0,1,0,0,0,2,2,2,117,0,1,0,0,2,-2.5,1.86000001430511,483,0,1,0,0,0,1,1,0,0,1,0,117,0
"10",6,0,0,0,0,0,0,0,0,0,34,1,0,0,0,2,1.37999999523163,1.29999995231628,365,0,0,0,0,0,0,0,0,0,1,1,34,0
"11",7,0,0,3,0,1,0,0,0,1,322,1,0,0,0,0,0.949999988079071,2.03999996185303,100,1,1,1,0,0,0,0,0,0,1,1,322,0
"12",8.10000038146973,1,0,0,0,0,0,0,2,0,43,1,0,0,1,2,0.360000014305115,0.850000023841858,344,0,0,0,0,0,0,0,0,0,1,1,43,0
"13",8.19999980926514,1,1,3,0,0,0,0,1,1,121,0,0,0,0,2,-1.10000002384186,0.479999989271164,344,1,1,1,0,0,0,0,0,0,1,0,121,0
"14",9,1,1,0,0,1,0,1,2,1,489,0,0,0,1,0,-0.280000001192093,0.600000023841858,42,0,0,0,0,0,1,0,0,0,1,0,489,0
"15",10,1,0,1,2,0,0,2,2,3,168,0,1,0,0,0,-0.689999997615814,2.1800000667572,92,0,1,0,0,0,1,1,1,1,1,0,168,0
