id	eonumber	year	revoked	revoke_year	revokedbyotherthaneo	substantive_amended	sub_amend_year	superseded	supersede_year	partrevoked	reject_revoke_eo	transfer_rv	abolish_rv	amend_rv	other_auth_rv	ceremonial	divdgovt	recent	fds	nyt	public_mention	log_words	war	inflation	presapprove_year	electyr	admchg	endterm	civilservice	publicland	economy	committee	civilrights	intelligence	nationalsecurity	foreignservice	militaryoperations	governmentcontracting	temporaryandemergencyfunctions
1	"7532"	1937	1	1952	1	1	1939	0		0						0	0		0	1	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
2	"7533"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
3	"7534"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
4	"7535"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
5	"7536"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
6	"7537"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
7	"7538"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
8	"7539"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
9	"7540"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	"7541"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
11	"7542"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	"7543"	1937	1	1945	0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	1	0	0	0
13	"7544"	1937	1	1947	1	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
14	"7545"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
15	"7546"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	"7547"	1937	0		0	0		1	1938	0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	"7548"	1937	1	1965	0	0		1	1952	0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	"7549"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	"7550"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
20	"7551"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
21	"7552"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
22	"7553"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	"7554"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	1	0	0	0	0	0	0	0	0
24	"7555"	1937	1	1982	1	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
25	"7556"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
26	"7557"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	"7558"	1937	1	1965	1	0		0		1						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
28	"7559"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
29	"7560"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
30	"7561"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
31	"7562"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
32	"7563"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
33	"7564"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	"7565"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
35	"7566"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
36	"7567"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
37	"7568"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
38	"7569"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
39	"7570"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	"7571"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
41	"7572"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
42	"7573"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	"7574"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
44	"7575"	1937	0		0	0		0		0						0	0		1	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	"7576"	1937	0		0	0		0		0						0	0		1	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
46	"7577"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	1	0	0	0
47	"7578"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
48	"7579"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
49	"7580"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
50	"7581"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
51	"7582"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
52	"7583"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
53	"7584"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	"7585"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
55	"7586"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
56	"7587"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
57	"7588"	1937	0		0	0		0		0						0	0		1	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
58	"7589"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
59	"7590"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
60	"7591"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
61	"7592"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
62	"7593"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
63	"7594"	1937	1	1983	1	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
64	"7595"	1937	1	1975	1	0		0		1						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
65	"7596"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
66	"7597"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
67	"7598"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
68	"7599"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
69	"7600"	1937	0		0	0		1	1938	0						0	0		1	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	1	0	0	0
70	"7601"	1937	1	1981	1	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
71	"7602"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	1	0	0	0
72	"7603"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
73	"7604"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
74	"7605"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
75	"7606"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	"7607"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
77	"7608"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
78	"7609"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	"7610"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
80	"7611"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
81	"7612"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
82	"7613"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
83	"7614"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
84	"7615"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
85	"7616"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
86	"7617"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	"7618"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	"7619"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
89	"7620"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	"7621"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	"7622"	1937	1	1955	1	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
92	"7623"	1937	1	1972	1	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
93	"7624"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
94	"7625"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
95	"7626"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
96	"7627"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
97	"7628"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
98	"7629"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
99	"7630"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	"7631"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	"7632"	1937	1	1941	0	0		0		1						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	"7633"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
103	"7634"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
104	"7635"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
105	"7636"	1937	1	1968	0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
106	"7637"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
107	"7638"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
108	"7639"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	"7640"	1937	0		0	0		0		0						0	0		0	1	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	"7641"	1937	0		0	0		1	1939	0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	"7642"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
112	"7643"	1937	0		0	0		0		0						0	0		0	1	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
113	"7644"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
114	"7645"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
115	"7646"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
116	"7647"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
117	"7648"	1937	1	1968	0	0		0		1						0	0		0	0	0		0	3.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0
118	"7649"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	"7650"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
120	"7651"	1937	0		0	0		0		0						0	0		0	0	0		0	3.61		0	0	0	0	1	0	0	0	0	0	0	0	0	0
