warnum,frstyear,lastyear,ccode1,ccode2,length,logleng,censor,oadm,oada,oadp,omdm,omda,omdp,opdm,opda,opdp,durscale,rterrain,rterrstr,summperb,sumpopbg,popratbg,bofadjbg,qualratb,salscale,reprsumb,demosumb,surpdiff,nactors,adis3010
1,1823,1823,220,230,4,1.386294,1,0,1,0,0,0,0,0,0,0,4,.25,1,370,42612,2.650788,.626897,2.730683,1,6,2,0,2,2
3,1846,1848,2,70,22,3.091042,1,0,1,0,0,0,0,0,0,0,4,0,0,59,27918,2.771174,.657709,1.083721,2,8,11,0,2,4
4,1848,1849,300,325,16,2.772589,1,1,0,0,0,0,0,0,0,0,3,.45,1.35,488,43372,5.161671,.760579,3.076762,2,5.272541,3.18492,0,4,0
5,1848,1848,255,390,6,1.791759,1,0,1,0,0,0,0,0,0,0,4,.45,1.8,162,18480,7.04878,.834388,1.369781,0,4,0,0,2,0
6,1849,1849,220,327,2,.693147,1,0,1,0,0,0,0,0,0,0,4,.25,1,932,83802,26.60277,.958766,1.172452,1,3.840988,4.536932,0,4,0
7,1851,1852,140,160,12,2.484907,1,0,1,0,0,0,0,0,0,0,4,.15,.6,25,8401,7.705699,.55652,1.090909,1,6,3,0,2,0
8,1853,1856,640,365,28,3.332205,1,0,1,0,0,0,0,0,0,0,4,0,0,921,102798,2.073551,.757571,1.611483,1,2,0,0,2,7
9,1856,1857,200,630,6,1.791759,1,0,1,0,0,0,0,0,0,0,4,0,0,400,32784,5.867197,.93065,2.269704,1,3,6,0,2,0
10,1859,1859,220,300,5,1.609438,1,0,1,0,0,0,0,0,0,0,4,.35,1.4,873,79142,1.106073,.634114,1.141503,1,5.038317,2.17136,0,3,1.5
12,1860,1860,325,327,10,2.302585,1,0,1,0,0,0,0,0,0,0,4,.25,1,202,24063,6.586066,.826793,1.436802,2,3.36,3.61,0,2,0
13,1860,1860,325,329,2,.693147,1,0,1,0,0,0,0,0,0,0,4,.25,1,275,30251,2.231944,.534435,1.697978,2,3.36,2.61,0,2,0
14,1862,1867,70,220,58,4.060443,1,0,0,1,0,0,0,0,0,0,7,.15,1.05,547,46321,4.379282,.77252,1.439299,1,5,2,0,2,2
16,1864,1864,255,390,6,1.791759,1,0,1,0,0,0,0,0,0,0,4,.45,1.8,542,55393,19.37256,.949905,1.490081,2,7.435596,5.435596,0,3,4.5
17,1864,1870,140,150,63,4.143135,1,0,1,0,0,0,0,0,0,0,4,0,0,49,9739,18.4004,.634981,635,2,4,2,0,2,0
18,1865,1866,155,230,2,.693147,1,0,1,0,0,0,0,0,0,0,4,.55,2.2,128,17835,8.804838,.524615,2.38921,1,6,4,0,2,4
19,1866,1866,255,300,1,0,1,0,1,0,0,0,0,0,0,0,4,.45,1.8,893,94593,1.040357,.527323,1.1028,2,5.210697,1.416956,.473871,11,1.833333
20,1870,1871,220,255,10,2.302585,1,0,1,0,0,0,0,0,0,0,4,.45,1.8,795.1667,79879.16,1.074245,.528993,1.004754,2,4,3.02514,0,5,0
21,1877,1877,365,640,9,2.197225,1,0,1,0,0,0,0,0,0,0,4,.45,1.8,1301,125911,3.089214,.589107,2.167713,2,2,0,0,2,2
22,1879,1883,135,155,58,4.060443,1,0,1,0,0,0,0,0,0,0,4,.1,.4,47.36364,5982.091,1.664629,.75323,7.986882,2,5.472279,4.736139,0,3,6
24,1885,1885,90,92,4,1.386294,1,0,1,0,0,0,0,0,0,0,4,.45,1.8,4,1332,1.046083,.597621,1.677273,1,6,5,0,2,2
