warnum,year,ccode1,ccode2,lastyear,time,logtime,censor,nperiod,oadm,oada,oadp,omdm,omda,omdp,opdm,opda,opdp,durscale,Rterrain,Rterrstr,sumpop,popratio,summper,bofadj,qualrat,salscale,reprsum,demosum,surpdiff,nactors,adis3010
1,1823,220,230,1823,4,1.39,1,1,0,1,0,0,0,0,0,0,0,4,.25,1,42612,2.6508,370,.6269,2.7307,1,6,2,0,2,2
3,1846,2,70,1848,9,2.2,1,3,0,1,0,0,0,0,0,0,0,4,0,0,27918,2.7712,59,.6577,1.0837,2,8,11,0,2,4
3,1847,2,70,1848,21,3.04,1,3,0,1,0,0,0,0,0,0,0,4,0,0,28626,2.8311,76,.6354,2.3362,2,8,11,0,2,4
3,1848,2,70,1848,22,3.09,1,3,0,1,0,0,0,0,0,0,0,4,0,0,29346,2.8951,79,.6417,2.3851,2,8,11,0,2,4
4,1848,300,325,1849,9,2.2,1,2,1,0,0,0,0,0,0,0,0,3,.45,1.35,43372,5.1617,488,.7606,3.0768,2,5.2725,3.1849,0,4,0
4,1849,300,325,1849,16,2.77,1,2,1,0,0,0,0,0,0,0,0,3,.45,1.35,41351,7.391,478,.8372,1.3735,2,5.36,3.61,0,2,0
5,1848,255,390,1848,6,1.79,1,1,0,1,0,0,0,0,0,0,0,4,.45,1.8,18480,7.0488,162,.8344,1.3698,0,4,0,0,2,0
6,1849,220,327,1849,2,.69,1,1,0,1,0,0,0,0,0,0,0,4,.25,1,83802,26.6028,932,.9588,1.1725,1,3.841,4.5369,0,4,0
7,1851,140,160,1852,10,2.3,1,2,0,1,0,0,0,0,0,0,0,4,.15,.6,8401,7.7057,25,.5565,1.0909,1,6,3,0,2,0
7,1852,140,160,1852,12,2.48,1,2,0,1,0,0,0,0,0,0,0,4,.15,.6,8566,7.5234,30,.5496,1.2331,1,6,3,0,2,0
8,1853,640,365,1856,2,.69,1,4,0,1,0,0,0,0,0,0,0,4,0,0,102798,2.0736,921,.7576,1.6115,1,2,0,0,2,7
8,1854,200,365,1856,14,2.64,1,4,0,1,0,0,0,0,0,0,0,4,0,0,151822,1.158,1765.5,.6476,4.2176,2,2.8493,3.7401,0,4,7.6667
8,1855,200,365,1856,26,3.26,1,4,0,1,0,0,0,0,0,0,0,4,0,0,169971,1.3815,2737,.6652,2.8099,2,2.9255,3.6525,0,5,7.5
8,1856,200,365,1856,28,3.33,1,4,0,1,0,0,0,0,0,0,0,4,0,0,171340,1.3666,3239,.6455,3.1675,2,2.9265,3.7066,0,5,7.5
9,1856,200,630,1857,2,.69,1,2,0,1,0,0,0,0,0,0,0,4,0,0,32784,5.8672,400,.9306,2.2697,1,3,6,0,2,0
9,1857,200,630,1857,6,1.79,1,2,0,1,0,0,0,0,0,0,0,4,0,0,33073,5.7675,290,.9211,1.8579,1,3,6,0,2,0
10,1859,220,300,1859,5,1.61,1,1,0,1,0,0,0,0,0,0,0,4,.35,1.4,79142,1.1061,873,.6341,1.1415,1,5.0383,2.1714,0,3,1.5
12,1860,325,327,1860,10,2.3,1,1,0,1,0,0,0,0,0,0,0,4,.25,1,24063,6.5861,202,.8268,1.4368,2,3.36,3.61,0,2,0
13,1860,325,329,1860,2,.69,1,1,0,1,0,0,0,0,0,0,0,4,.25,1,30251,2.2319,275,.5344,1.698,2,3.36,2.61,0,2,0
14,1862,70,220,1867,9,2.2,1,6,0,0,1,0,0,0,0,0,0,7,.15,1.05,46321,4.3793,547,.7725,1.4393,1,5,2,0,2,2
14,1863,70,220,1867,21,3.04,1,6,0,0,1,0,0,0,0,0,0,7,.15,1.05,46568,4.3477,503,.7767,4.0049,1,5,2,0,2,2
14,1864,70,220,1867,33,3.5,1,6,0,0,1,0,0,0,0,0,0,7,.15,1.05,46822,4.3195,502,.7632,2.8344,1,5,2,0,2,2
