Obs	Country	Party	countrypartyid	Leader	Year	majoritarian	gov	majorparty	seatdiff	seatshare	groups	FoundedAfter1980	FoundedAfter1965	FoundedAfter1970	FoundedAfter1975	perfemmp2	fem.mandate	Female	leaderage	Died	died2	Party_Death	FFL.new	AFFL.new	Time	LeaderDeath	LeaderYearFirst	LeaderYear	LeaderInclude.woC.woPD	LeaderInclude.woC.wPD	LeaderInclude.wC.woPD	LeaderInclude.wC.wPD	FemLeaderNum	NewLeader	rbgroup
1	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	""	1961	1	0	1	0		"30"						0			0	0	0		0		0	0	0	0	0	0	0	0		"30"
2	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Arthur Calwell"	1965	1	0	1			"30"	0	0	0	0		0	0	69	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"30"
3	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Arthur Calwell"	1966	1	0	1			"30"	0	0	0	0		0	0	70	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	"30"
4	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Arthur Calwell/Gough Whitlam"	1967	1	0	1			"30"	0	0	0	0		0	0	51	0	0	0	0	0	3	0	1	1	1	1	1	1	0	1	"30"
5	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Gough Whitlam"	1968	1	0	1			"30"	0	0	0	0		0	0	52	0	0	0	0	0	4	0	2	2	1	1	1	1	0	0	"30"
6	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Gough Whitlam"	1969	1	0	1			"30"	0	0	0	0		0	0	53	0	0	0	0	0	5	0	3	3	1	1	1	1	0	0	"30"
7	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Gough Whitlam"	1970	1	0	1			"30"	0	0	0	0		0	0	54	0	0	0	0	0	6	0	4	4	1	1	1	1	0	0	"30"
8	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Gough Whitlam"	1971	1	0	1			"30"	0	0	0	0		0	0	55	0	0	0	0	0	7	0	5	5	1	1	1	1	0	0	"30"
9	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Gough Whitlam"	1972	1	1	1			"30"	0	0	0	0		0	0	56	0	0	0	0	0	8	0	6	6	1	1	1	1	0	0	"30"
10	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Gough Whitlam"	1973	1	1	1			"30"	0	0	0	0		0	0	57	0	0	0	0	0	9	0	7	7	1	1	1	1	0	0	"30"
11	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Gough Whitlam"	1974	1	1	1			"30"	0	0	0	0		0	0	58	0	0	0	0	0	10	0	8	8	1	1	1	1	0	0	"30"
12	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Gough Whitlam"	1975	1	0	1			"30"	0	0	0	0		0	0	59	0	0	0	0	0	11	0	9	9	1	1	1	1	0	0	"30"
13	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Gough Whitlam"	1976	1	0	1			"30"	0	0	0	0		0	0	60	0	0	0	0	0	12	1	10	10	1	1	1	1	0	0	"30"
14	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Gough Whitlam/William Hayden"	1977	1	0	1			"30"	0	0	0	0		0	0	44	0	0	0	0	0	13	0	1	1	1	1	1	1	0	1	"30"
15	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"William Hayden"	1978	1	0	1			"30"	0	0	0	0		0	0	45	0	0	0	0	0	14	0	2	2	1	1	1	1	0	0	"30"
16	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"William Hayden"	1979	1	0	1			"30"	0	0	0	0		0	0	46	0	0	0	0	0	15	0	3	3	1	1	1	1	0	0	"30"
17	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"William Hayden"	1980	1	0	1			"30"	0	0	0	0		0	0	47	0	0	0	0	0	16	0	4	4	1	1	1	1	0	0	"30"
18	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"William Hayden"	1981	1	0	1			"30"	0	0	0	0		0	0	48	0	0	0	0	0	17	0	5	5	1	1	1	1	0	0	"30"
19	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"William Hayden"	1982	1	0	1			"30"	0	0	0	0		0	0	49	0	0	0	0	0	18	1	6	6	1	1	1	1	0	0	"30"
20	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"William Hayden/Robert Hawke"	1983	1	0	1			"30"	0	0	0	0		0	0	54	0	0	0	0	0	19	0	1	1	1	1	1	1	0	1	"30"
21	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Robert Hawke"	1984	1	1	1			"30"	0	0	0	0		0	0	55	0	0	0	0	0	20	0	2	2	1	1	1	1	0	0	"30"
22	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Robert Hawke"	1985	1	1	1			"30"	0	0	0	0		0	0	56	0	0	0	0	0	21	0	3	3	1	1	1	1	0	0	"30"
23	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Robert Hawke"	1986	1	1	1			"30"	0	0	0	0		0	0	57	0	0	0	0	0	22	0	4	4	1	1	1	1	0	0	"30"
24	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Robert Hawke"	1987	1	1	1			"30"	0	0	0	0		0	0	58	0	0	0	0	0	23	0	5	5	1	1	1	1	0	0	"30"
25	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Robert Hawke"	1988	1	1	1			"30"	0	0	0	0		0	0	59	0	0	0	0	0	24	0	6	6	1	1	1	1	0	0	"30"
26	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Robert Hawke"	1989	1	1	1			"30"	0	0	0	0		0	0	60	0	0	0	0	0	25	0	7	7	1	1	1	1	0	0	"30"
27	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Robert Hawke"	1990	1	1	1			"30"	0	0	0	0		0	0	61	0	0	0	0	0	26	1	8	8	1	1	1	1	0	0	"30"
28	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Robert Hawke/Paul Keating"	1991	1	1	1			"30"	0	0	0	0		0	0	47	0	0	0	0	0	27	0	1	1	1	1	1	1	0	1	"30"
29	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Paul Keating"	1992	1	1	1			"30"	0	0	0	0		0	0	48	0	0	0	0	0	28	0	2	2	1	1	1	1	0	0	"30"
30	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Paul Keating"	1993	1	1	1			"30"	0	0	0	0		0	0	49	0	0	0	0	0	29	0	3	3	1	1	1	1	0	0	"30"
31	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Paul Keating"	1994	1	1	1			"30"	0	0	0	0		0	0	50	0	0	0	0	0	30	0	4	4	1	1	1	1	0	0	"30"
32	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Paul Keating"	1995	1	1	1			"30"	0	0	0	0		0	0	51	0	0	0	0	0	31	1	5	5	1	1	1	1	0	0	"30"
33	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Paul Keating/Kim Beazley"	1996	1	0	1			"30"	0	0	0	0		0	0	48	0	0	0	0	0	32	0	1	1	1	1	1	1	0	1	"30"
34	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Kim Beazley"	1997	1	0	1			"30"	0	0	0	0		0	0	49	0	0	0	0	0	33	0	2	2	1	1	1	1	0	0	"30"
35	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Kim Beazley"	1998	1	0	1			"30"	0	0	0	0		0	0	50	0	0	0	0	0	34	0	3	3	1	1	1	1	0	0	"30"
36	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Kim Beazley"	1999	1	0	1			"30"	0	0	0	0		0	0	51	0	0	0	0	0	35	0	4	4	1	1	1	1	0	0	"30"
37	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Kim Beazley"	2000	1	0	1			"30"	0	0	0	0		0	0	52	0	0	0	0	0	36	1	5	5	1	1	1	1	0	0	"30"
38	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Kim Beazley/Simon Crean"	2001	1	0	1			"30"	0	0	0	0		0	0	52	0	0	0	0	0	37	0	1	1	1	1	1	1	0	1	"30"
39	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Simon Crean"	2002	1	0	1			"30"	0	0	0	0		0	0	53	0	0	0	0	0	38	1	2	2	1	1	1	1	0	0	"30"
40	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Simon Crean/Mark Latham"	2003	1	0	1			"30"	0	0	0	0		0	0	42	0	0	0	0	0	39	0	1	1	1	1	1	1	0	1	"30"
41	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Mark Latham"	2004	1	0	1			"30"	0	0	0	0		0	0	43	0	0	0	0	0	40	1	2	2	1	1	1	1	0	0	"30"
42	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Mark Latham/Kim Beazley"	2005	1	0	1			"30"	0	0	0	0		0	0	57	0	0	0	0	0	41	1	1	1	1	1	1	1	0	1	"30"
43	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Kim Beazley/Kevin Rudd"	2006	1	0	1			"30"	0	0	0	0		0	0	49	0	0	0	0	0	42	0	1	1	1	1	1	1	0	1	"30"
44	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Kevin Rudd"	2007	1	1	1			"30"	0	0	0	0		0	0	50	0	0	0	0	0	43	0	2	2	1	1	1	1	0	0	"30"
45	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Kevin Rudd"	2008	1	1	1			"30"	0	0	0	0		0	0	51	0	0	0	0	0	44	0	3	3	1	1	1	1	0	0	"30"
46	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Kevin Rudd"	2009	1	1	1			"30"	0	0	0	0		0	0	52	0	0	0	0	0	45	1	4	4	1	1	1	1	0	0	"30"
47	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Kevin Rudd/Julia Gillard"	2010	1	1	1			"30"	0	0	0	0		0	1	49	0	0	0	1	0	46	0	1	1	1	1	1	1	1	1	"30"
48	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Julia Gillard"	2011	1	1	1			"30"	0	0	0	0		0	1	50	0	0	0	0	1	47	0	2	2	1	1	1	1	1	0	"30"
49	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Julia Gillard"	2012	1	1	1			"30"	0	0	0	0		0	1	51	0	0	0	0	1	48	1	3	3	1	1	1	1	1	0	"30"
50	"Australia"	"Australian Labor Party"	"Australia Australian Labor Party"	"Julia Gillard"	2013	1	1	1			"30"	0	0	0	0		0	0	52	0	0	0	0	1	49	0	0	1	0	0	1	1	0	1	"30"
51	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	""	1961	1	1	1	0		"60"						0			0	0	0		0		0	0	0	0	0	0	0	0		"60"
52	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Robert Menzies"	1965	1	1	1			"60"	0	0	0	0		0	0	71	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"60"
53	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Robert Menzies/Harold Holt"	1966	1	1	1			"60"	0	0	0	0		0	0	72	0	1	0	0	0	2	1	1	1	1	1	1	1	0	1	"60"
54	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Harold Holt"	1967	1	1	1			"60"	0	0	0	0		0	0	59	1	0	0	0	0	3	0	0	1	1	1	1	1	0	1	"60"
55	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Gorton"	1968	1	1	1			"60"	0	0	0	0		0	0	57	0	0	0	0	0	4	0	2	2	1	1	1	1	0	0	"60"
56	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Gorton"	1969	1	1	1			"60"	0	0	0	0		0	0	58	0	0	0	0	0	5	0	3	3	1	1	1	1	0	0	"60"
57	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Gorton"	1970	1	1	1			"60"	0	0	0	0		0	0	59	0	0	0	0	0	6	1	4	4	1	1	1	1	0	0	"60"
58	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Gorton/William McMahon"	1971	1	1	1			"60"	0	0	0	0		0	0	63	0	0	0	0	0	7	1	1	1	1	1	1	1	0	1	"60"
59	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"William McMahon/Bill Snedden"	1972	1	0	1			"60"	0	0	0	0		0	0	64	0	0	0	0	0	8	0	1	1	1	1	1	1	0	1	"60"
60	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Bill Snedden"	1973	1	0	1			"60"	0	0	0	0		0	0	47	0	0	0	0	0	9	0	2	2	1	1	1	1	0	0	"60"
61	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Bill Snedden"	1974	1	0	1			"60"	0	0	0	0		0	0	48	0	0	0	0	0	10	1	3	3	1	1	1	1	0	0	"60"
62	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Bill Snedden/Malcolm Fraser"	1975	1	0	1			"60"	0	0	0	0		0	0	45	0	0	0	0	0	11	0	1	1	1	1	1	1	0	1	"60"
63	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Malcolm Fraser"	1976	1	1	1			"60"	0	0	0	0		0	0	46	0	0	0	0	0	12	0	2	2	1	1	1	1	0	0	"60"
64	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Malcolm Fraser"	1977	1	1	1			"60"	0	0	0	0		0	0	47	0	0	0	0	0	13	0	3	3	1	1	1	1	0	0	"60"
65	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Malcolm Fraser"	1978	1	1	1			"60"	0	0	0	0		0	0	48	0	0	0	0	0	14	0	4	4	1	1	1	1	0	0	"60"
66	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Malcolm Fraser"	1979	1	1	1			"60"	0	0	0	0		0	0	49	0	0	0	0	0	15	0	5	5	1	1	1	1	0	0	"60"
67	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Malcolm Fraser"	1980	1	1	1			"60"	0	0	0	0		0	0	50	0	0	0	0	0	16	0	6	6	1	1	1	1	0	0	"60"
68	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Malcolm Fraser"	1981	1	1	1			"60"	0	0	0	0		0	0	51	0	0	0	0	0	17	0	7	7	1	1	1	1	0	0	"60"
69	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Malcolm Fraser"	1982	1	1	1			"60"	0	0	0	0		0	0	52	0	0	0	0	0	18	1	8	8	1	1	1	1	0	0	"60"
70	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Malcolm Fraser/Andrew Peacock"	1983	1	0	1			"60"	0	0	0	0		0	0	44	0	0	0	0	0	19	0	1	1	1	1	1	1	0	1	"60"
71	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Andrew Peacock"	1984	1	0	1			"60"	0	0	0	0		0	0	45	0	0	0	0	0	20	1	2	2	1	1	1	1	0	0	"60"
72	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Andrew Peacock/John Howard"	1985	1	0	1			"60"	0	0	0	0		0	0	46	0	0	0	0	0	21	0	1	1	1	1	1	1	0	1	"60"
73	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	1986	1	0	1			"60"	0	0	0	0		0	0	47	0	0	0	0	0	22	0	2	2	1	1	1	1	0	0	"60"
74	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	1987	1	0	1			"60"	0	0	0	0		0	0	48	0	0	0	0	0	23	0	3	3	1	1	1	1	0	0	"60"
75	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	1988	1	0	1			"60"	0	0	0	0		0	0	49	0	0	0	0	0	24	1	4	4	1	1	1	1	0	0	"60"
76	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard/Andrew Peacock"	1989	1	0	1			"60"	0	0	0	0		0	0	50	0	0	0	0	0	25	1	1	1	1	1	1	1	0	1	"60"
77	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Andrew Peacock/John Hewson"	1990	1	0	1			"60"	0	0	0	0		0	0	44	0	0	0	0	0	26	0	1	1	1	1	1	1	0	1	"60"
78	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Hewson"	1991	1	0	1			"60"	0	0	0	0		0	0	45	0	0	0	0	0	27	0	2	2	1	1	1	1	0	0	"60"
79	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Hewson"	1992	1	0	1			"60"	0	0	0	0		0	0	46	0	0	0	0	0	28	0	3	3	1	1	1	1	0	0	"60"
80	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Hewson"	1993	1	0	1			"60"	0	0	0	0		0	0	47	0	0	0	0	0	29	1	4	4	1	1	1	1	0	0	"60"
81	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Hewson/Alexander Downer"	1994	1	0	1			"60"	0	0	0	0		0	0	43	0	0	0	0	0	30	1	1	1	1	1	1	1	0	1	"60"
82	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Alexander Downer/John Howard"	1995	1	0	1			"60"	0	0	0	0		0	0	56	0	0	0	0	0	31	0	1	1	1	1	1	1	0	1	"60"
83	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	1996	1	1	1			"60"	0	0	0	0		0	0	57	0	0	0	0	0	32	0	2	2	1	1	1	1	0	0	"60"
84	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	1997	1	1	1			"60"	0	0	0	0		0	0	58	0	0	0	0	0	33	0	3	3	1	1	1	1	0	0	"60"
85	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	1998	1	1	1			"60"	0	0	0	0		0	0	59	0	0	0	0	0	34	0	4	4	1	1	1	1	0	0	"60"
86	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	1999	1	1	1			"60"	0	0	0	0		0	0	60	0	0	0	0	0	35	0	5	5	1	1	1	1	0	0	"60"
87	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	2000	1	1	1			"60"	0	0	0	0		0	0	61	0	0	0	0	0	36	0	6	6	1	1	1	1	0	0	"60"
88	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	2001	1	1	1			"60"	0	0	0	0		0	0	62	0	0	0	0	0	37	0	7	7	1	1	1	1	0	0	"60"
89	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	2002	1	1	1			"60"	0	0	0	0		0	0	63	0	0	0	0	0	38	0	8	8	1	1	1	1	0	0	"60"
90	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	2003	1	1	1			"60"	0	0	0	0		0	0	64	0	0	0	0	0	39	0	9	9	1	1	1	1	0	0	"60"
91	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	2004	1	1	1			"60"	0	0	0	0		0	0	65	0	0	0	0	0	40	0	10	10	1	1	1	1	0	0	"60"
92	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	2005	1	1	1			"60"	0	0	0	0		0	0	66	0	0	0	0	0	41	0	11	11	1	1	1	1	0	0	"60"
93	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard"	2006	1	1	1			"60"	0	0	0	0		0	0	67	0	0	0	0	0	42	1	12	12	1	1	1	1	0	0	"60"
94	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"John Howard/Brendan Nelson"	2007	1	0	1			"60"	0	0	0	0		0	0	49	0	0	0	0	0	43	1	1	1	1	1	1	1	0	1	"60"
95	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Brendan Nelson/Malcolm Turnbull"	2008	1	0	1			"60"	0	0	0	0		0	0	54	0	0	0	0	0	44	1	1	1	1	1	1	1	0	1	"60"
96	"Australia"	"Liberal Party (Australia)"	"Australia Liberal Party (Australia)"	"Malcolm Turnbull/Tony Abbott"	2009	1	0	1			"60"	0	0	0	0		0	0	52	0	0	0	0	0	45	0	1	1	0	0	1	1	0	1	"60"
