state,year,stateno,time,time2,billsproposed,photo,id_req,election_margin,election_margin_mcent,pct_gop,pct_gop_centered,gopXmargin_mcent,battleground,vep_pres,vep_pres_mcent,battleXvep_mcent,gov_gop,pct_nonwhite_registrants,nonwhite_mcent,nonwhite_absgrowth,nonwhite_growth_mcent,gov_ideology,gov_ideology_mcent,south,diff_any_id,diff_anyid_mcent,diff_photo_id,diff_photoid_mcent,voterfraud,voterfraud_mcent,hava,biennial,scaleid2
Alabama,2001,1,0,0,5,0,0,11.8687,-3.531652,34.78261,-15.21739,53.74253,0,51.6,-9.149502,0,0,24.88441,6.430841,-6.771654,-12.31375,79.81371,30.20502,1,0.75,0.3258246,0.25,0.1129299,0,-1.025,0,0,1
Alabama,2002,1,1,1,3,0,0,6.555328,-8.845021,35,-15,132.6753,0,51.6,-9.149502,0,0,23.39156,4.93799,-7.263514,-12.80561,79.81371,30.20502,1,0.75,0.3258246,0.25,0.1129299,1,-0.025,0,0,1
Alabama,2003,1,2,4,7,0,1,6.555328,-8.845021,36.42857,-13.57143,120.0396,0,51.6,-9.149502,0,1,24.36517,5.9116,5.737705,0.1956128,48.30526,-1.30343,1,0.75,0.3258246,0.25,0.1129299,0,-1.025,1,0,2
Alabama,2004,1,3,9,0,0,1,6.555328,-8.845021,37.14286,-12.85714,113.7217,0,57.2,-3.549499,0,1,25.31017,6.856599,5.426357,-0.1157352,42.45374,-7.154951,1,0.75,0.3258246,0.25,0.1129299,1,-0.025,0,0,2
Alabama,2005,1,4,16,1,0,1,6.555328,-8.845021,36.49635,-13.50365,119.4401,0,57.2,-3.549499,0,1,26.15353,7.69996,4.656863,-0.8852293,42.45374,-7.154951,1,0.75,0.3258246,0.5,0.3629299,0,-1.025,0,0,2
Alabama,2006,1,5,25,0,0,1,4.08989,-11.31046,37.14286,-12.85714,145.4202,0,57.2,-3.549499,0,1,26.97581,8.522239,4.449649,-1.092443,42.45374,-7.154951,1,0.75,0.3258246,0.5,0.3629299,0,-1.025,0,0,2
Alabama,2007,1,6,36,3,0,1,4.08989,-11.31046,39.28571,-10.71429,121.1835,0,57.2,-3.549499,0,1,26.75884,8.30527,-1.644245,-7.186337,41.5652,-8.043489,1,0.75,0.3258246,0.5,0.3629299,0,-1.025,0,0,2
Alabama,2008,1,7,49,0,0,1,4.08989,-11.31046,40,-10,113.1046,0,60.8,0.0504992,0,1,26.53815,8.08458,-1.671733,-7.213825,41.96951,-7.639181,1,0.75,0.3258246,0.5,0.3629299,1,-0.025,0,0,2
Alabama,2009,1,8,64,4,0,1,4.08989,-11.31046,40.87591,-9.124087,103.1976,0,60.8,0.0504992,0,1,27.37022,8.91665,-1.391036,-6.933127,41.65173,-7.95696,1,0.75,0.3258246,0.5,0.3629299,0,-1.025,0,0,2
Alabama,2010,1,9,81,3,0,1,16.54175,1.141398,42.14286,-7.857143,-8.968128,0,60.8,0.0504992,0,1,28.28237,9.828799,-1.410658,-6.95275,37.04457,-12.56412,1,0.75,0.3258246,0.5,0.3629299,1,-0.025,0,0,2
Alabama,2011,1,10,100,1,1,1,16.54175,1.141398,60.43166,10.43165,11.90667,0,60.8,0.0504992,0,1,27.59414,9.140569,4.848967,-0.6931254,32.43741,-17.17128,1,0.75,0.3258246,0.75,0.6129299,0,-1.025,0,0,3
Alabama,2012,1,11,121,0,1,1,16.54175,1.141398,63.50365,13.50365,15.41304,0,58.9,-1.849499,0,1,26.99531,8.541739,4.624716,-0.9173762,27.83025,-21.77844,1,0.75,0.3258246,0.75,0.6129299,0,-1.025,0,0,3
Alaska,2001,2,0,0,0,0,0,22.15858,6.758227,68.33334,18.33333,123.9008,0,68.1,7.350499,0,0,20.76412,2.31055,5.932203,0.3901113,47.75643,-1.852258,0,,,,,0,-1.025,0,0,1
Alaska,2002,2,1,1,0,0,0,32.65159,17.25124,68.33334,18.33333,316.2728,0,68.1,7.350499,0,0,21.78218,3.328611,5.6,0.0579079,47.53053,-2.078161,0,,,,,0,-1.025,0,0,1
Alaska,2003,2,2,4,2,0,1,32.65159,17.25124,65,15,258.7686,0,68.1,7.350499,0,1,20.56515,2.111579,-0.7575758,-6.299668,27.47109,-22.1376,0,,,,,0,-1.025,1,0,2
Alaska,2004,2,3,9,1,0,1,18.34116,2.940814,65,15,44.1122,0,69.1,8.350498,0,1,19.46107,1.007499,-0.7633588,-6.305451,31.24092,-18.36777,0,,,,,0,-1.025,0,0,2
Alaska,2005,2,4,16,0,0,1,18.34116,2.940814,63.33333,13.33333,39.21085,0,69.1,8.350498,0,1,20.68965,2.23608,6.153846,0.6117542,31.24092,-18.36777,0,,,,,1,-0.025,0,0,2
Alaska,2006,2,5,25,0,0,1,7.750633,-7.649717,63.33333,13.33333,-101.9962,0,69.1,8.350498,0,1,21.92192,3.468351,5.797101,0.2550095,31.24092,-18.36777,0,,,,,0,-1.025,0,0,2
Alaska,2007,2,6,36,0,0,1,7.750633,-7.649717,63.33333,13.33333,-101.9962,0,69.1,8.350498,0,1,21.68142,3.227849,0.6849315,-4.857161,31.24092,-18.36777,0,,,,,0,-1.025,0,0,2
